City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,patea,-39.7583,174.4833,15.010000000000048,75,83,6.65,NZ,1678017630
203,gravenhurst,44.9168,-79.3663,-0.37000000000000455,100,100,1.54,CA,1678017630
204,ozu,33.5,132.55,9.54000000000002,64,0,2.18,JP,1678017630
205,yarada,17.65,83.2667,32.18000000000001,23,1,3.09,IN,1678017630
206,luganville,-15.5333,167.1667,25.53000000000003,88,89,2.16,VU,1678017630
207,port blair,11.6667,92.75,27.29000000000002,70,0,4.41,IN,1678017630
208,comodoro rivadavia,-45.8667,-67.5,21.920000000000016,49,0,7.72,AR,1678017617
209,cidreira,-30.1811,-50.2056,23.379999999999995,86,82,5.26,BR,1678017631
210,chebenki,51.9337,55.7077,0.8600000000000136,92,99,7.86,RU,1678017631
211,tura,25.5198,90.2201,24.689999999999998,37,1,0.81,IN,1678017631
212,canon city,38.441,-105.2424,4.7900000000000205,55,0,3.09,US,1678017631
213,saldanha,-33.0117,17.9442,20.670000000000016,72,32,7.0,ZA,1678017615
214,solginskiy,61.05,41.3428,-7.569999999999993,86,100,3.91,RU,1678017631
215,yokadouma,3.5167,15.05,39.620000000000005,20,61,0.41,CM,1678017632
216,codrington,-38.2667,141.9667,16.439999999999998,87,100,8.07,AU,1678017632
217,salinas,36.6777,-121.6555,9.480000000000018,80,100,6.17,US,1678017632
218,bengkulu,-3.8004,102.2655,25.24000000000001,84,72,0.56,ID,1678017632
219,maniitsoq,65.4167,-52.9,0.6400000000000432,68,84,5.51,GL,1678017632
220,milos,36.75,24.4333,13.450000000000045,71,34,12.17,GR,1678017632
221,hilo,19.7297,-155.09,24.04000000000002,85,22,1.54,US,1678017625
222,dinguiraye,11.3,-10.7167,36.360000000000014,18,70,1.13,GN,1678017543
223,laplace,30.0666,-90.4801,17.210000000000036,86,0,3.6,US,1678017633
224,mallaig,54.2169,-111.3685,-25.569999999999965,100,82,1.25,CA,1678017633
225,hudson bay,52.85,-102.3842,-21.109999999999985,98,81,1.88,CA,1678017633
226,ocos,14.5094,-92.1933,24.140000000000043,80,45,2.64,GT,1678017633
227,upernavik,72.7868,-56.1549,-6.71999999999997,84,100,7.84,GL,1678017633
228,tandil,-37.3217,-59.1332,19.82000000000005,77,3,3.45,AR,1678017633
229,marzuq,14.4,46.4667,29.24000000000001,16,1,2.61,YE,1678017633
230,san ignacio,17.1561,-89.0714,21.08000000000004,94,0,0.0,BZ,1678017634
231,ixtapa,20.7,-105.2,18.460000000000036,84,100,1.21,MX,1678017634
232,leningradskiy,69.3833,178.4167,-22.139999999999986,97,100,1.78,RU,1678017634
233,peniche,39.3558,-9.3811,15.310000000000002,91,100,3.16,PT,1678017634
234,booue,-0.0921,11.9385,34.879999999999995,45,86,1.05,GA,1678017634
235,tignere,7.3667,12.65,35.420000000000016,16,66,3.0,CM,1678017635
236,hirara,24.8,125.2833,18.939999999999998,54,0,7.65,JP,1678017635
237,ha tinh,18.3333,105.9,18.129999999999995,89,50,0.52,VN,1678017560
238,moron,-34.6534,-58.6198,25.560000000000002,78,38,3.28,AR,1678017635
239,aykhal,66.0,111.5,-20.399999999999977,97,100,7.72,RU,1678017635
240,nishihara,26.1842,127.7558,17.600000000000023,55,20,6.17,JP,1678017635
241,yulara,-25.2406,130.9889,29.939999999999998,14,5,2.13,AU,1678017635
242,zlobin,45.2924,14.6541,9.610000000000014,40,0,2.57,HR,1678017636
